id	year	q_num	question_text	choice1	choice2	choice3	choice4	correct_answer_num	tags
p8_a	22	2-ア	連立方程式 {0.2x+0.8y=1、(1/2)x+(7/8)y=-2} を解きなさい。	x=-11・y=4	x=-3・y=4	x=3・y=-4	x=11・y=-4	1	方程式
p8_i	22	2-イ	2次方程式 4x^2-x-2=0を解きなさい。	x=(-1±√33)/4	x=(-1±√33)/8	x=(1±√33)/8	x=(1±√33)/4	3	方程式
p8_u	22	2-ウ	関数 y=-(1/4)x^2について、xの変域が-2≦x≦4のとき、yの変域はa≦y≦bである。このときのa、bの値を求めなさい。	a=-4・b=-1	a=-4・b=0	a=-1・b=0	a=0・b=4	2	関数
p8_e	22	2-エ	A班とA班より5人少ないB班の生徒でイスを並べた。A班は3脚ずつ、B班は4脚ずつ並べると、A班のイスはB班より3脚多かった。A班の人数は？	12人	14人	17人	23人	3	文章題
p8_o	22	2-オ	x=√6+√3、y=√6-√3のとき、x^2y+xy^2の値を求めなさい。	2√3	2√6	6√3	6√6	4	数と式 平方根
p9_a	21	1-ア	-9-(-5)	-14	-4	4	14	2	数と式
p9_i	21	1-イ	-5/6 - 3/4	-19/12	-1/12	1/12	19/12	1	数と式
p9_u	21	1-ウ	8ab^2*3a÷6a^2b	4a	4ab	4b	6b	3	数と式
p9_e	21	1-エ	(3x+2y)/5 - (x-3y)/3	(2x+5y)/15	(4x-9y)/15	(4x+21y)/15	(14x-9y)/15	3	数と式
p9_o	21	1-オ	(2+√7)(2-√7)+6(√7+2)	-3+2√7	-1+2√7	-1+6√7	9+6√7	4	数と式 平方根
p10_a	21	2-ア	(x+6)^2-5(x+6)-24を因数分解しなさい。	(x-9)(x+2)	(x-8)(x+3)	(x-3)(x+8)	(x-2)(x+9)	4	数と式 因数分解
p10_i	21	2-イ	2次方程式 x^2-3x+1=0を解きなさい。	x=(-3±√5)/2	x=(3±√5)/2	x=(-3±√13)/2	x=(3±√13)/2	2	方程式
p10_u	21	2-ウ	関数 y=ax^2について、xの値が1から4まで増加するときの変化の割合が-3であった。このときのaの値を求めなさい。	a=-5	a=-3/5	a=3/5	a=5	2	関数
p10_e	21	2-エ	1個15kgの荷物x個と1個9kgの荷物y個。全体の重さは200kg以上。この関係を不等式で表しなさい。	15x+9y≧200	15x+9y>200	15x+9y≦200	15x+9y<200	1	文章題
p10_o	21	2-オ	√540/n が自然数となるような、最も小さい自然数nの値を求めなさい。	n=3	n=6	n=15	n=30	3	数と式 平方根
p10_ka	21	2-カ	右の図:円に内接する四角形、AD//BC。∠CDE=40°、∠CED=34°。∠AFDの大きさは？	72°	74°	76°	80°	1	図形
p11_a	20	1-ア	2-(-9)	-11	-7	7	11	4	数と式
p11_i	20	1-イ	52a^2b÷(-4a)	-26b	-13ab	13ab	26b	2	数と式
p11_u	20	1-ウ	√28 + 49/√7	8√7	9√7	10√7	11√7	2	数と式 平方根
p11_e	20	1-エ	(3x-y)/3 - (x-2y)/4	(3x+2y)/4	(9x+y)/6	(9x-10y)/12	(9x+2y)/12	4	数と式
p11_o	20	1-オ	(√2+1)^2-5(√2+1)+4	2-3√2	8-3√2	2+3√2	12-3√2	1	数と式 平方根
p12_a	20	2-ア	連立方程式 {ax+by=10、bx-ay=5} の解が x=2、y=1 であるとき、a、b の値を求めなさい。	a=1・b=8	a=3・b=4	a=3・b=16	a=7・b=4	2	方程式
p12_i	20	2-イ	2次方程式 x^2-5x-3=0を解きなさい。	x=(-5±√13)/2	x=(-5±√37)/2	x=(5±√13)/2	x=(5±√37)/2	4	方程式
p12_u	20	2-ウ	関数 y=-(1/3)x^2について、xの値が3から6まで増加するときの変化の割合を求めなさい。	-9	-3	3	9	2	関数
p12_e	20	2-エ	大人と子どもの入園料。大人は子どもより600円高い。大人と子どもの料金比は5:2。子どもの入園料は？	400円	600円	800円	1000円	1	文章題
p12_o	20	2-オ	5880/n が自然数の平方となるような、最も小さい自然数nの値を求めなさい。	n=6	n=10	n=30	n=210	3	数と式 平方根
p12_ka	20	2-カ	右の図:ABは直径。∠OAC=54°、∠BED=27°。∠ODCの大きさは？	54°	63°	68°	72°	2	図形
p13_a	19	1-ア	(-7)+(-13)	-20	-6	6	20	1	数と式
p13_i	19	1-イ	-3/5 + 3/7	-36/35	-6/35	6/35	36/35	2	数と式
p13_u	19	1-ウ	32ab^2÷(-4b)	-16a	-16ab	-8ab	-8a	3	数と式
p13_e	19	1-エ	√63 + 42/√7	6√7	9√7	12√7	15√7	2	数と式 平方根
p13_o	19	1-オ	(x+4)^2-(x-5)(x-4)	-x-36	-x-4	17x-36	17x-4	4	数と式
p14_a	19	2-ア	(x-4)^2+8(x-4)-33を因数分解しなさい。	(x+7)(x-7)	(x-1)(x-15)	(x+4)(x-9)	(x+4)(x+9)	1	数と式 因数分解
p14_i	19	2-イ	2次方程式 3x^2-8x+2=0を解きなさい。	x=(-4±√10)/6	x=(4±√10)/3	x=(-4±2√10)/3	x=(4±2√10)/3	2	方程式
p14_u	19	2-ウ	関数 y=-(2/3)x^2について、xの変域が-3≦x≦2のとき、yの変域はa≦y≦bである。このときのa、bの値を求めなさい。	a=-6・b=0	a=-6・b=-8/3	a=-8/3・b=0	a=0・b=6	1	関数
p14_e	19	2-エ	通常価格a円の商品2つとb円の商品1つを3割引きで買い、合計は5000円より少なかった。この関係を不等式で表しなさい。	(3/10)(2a+b)>5000	(3/10)(2a+b)<5000	(7/10)(2a+b)>5000	(7/10)(2a+b)<5000	4	文章題
p14_o	19	2-オ	3つの数 5√3、8、√79 の大小を不等号を使って表しなさい。	5√3<√79<8	8<√79<5√3	8<5√3<√79	√79<8<5√3	3	数と式 平方根
p14_ka	19	2-カ	500個中6個が不良品。30000個の製品に含まれる不良品はおよそ何個か。	72個	240個	360個	720個	3	文章題
